"","BattingData.Team","BattingData.Runs","ExpectedRuns"
"1","Red Sox",878,884.825219195515
"2","Rockies",845,809.384167561083
"3","Cubs",808,798.67001648364
"4","Cardinals",779,781.92151526996
"5","Indians",777,780.945370395699
"6","Mariners",768,760.030433651861
"7","Rangers",765,763.129909565866
"8","Nationals",763,765.977242054606
"9","Blue Jays",759,750.818322199254
"10","Diamondbacks",752,763.386734562819
"11","Tigers",750,747.921716750225
"12","Orioles",744,743.931846266072
"13","Pirates",729,729.953071872583
"14","Dodgers",725,699.373622149635
"15","Astros",724,727.895398967018
"16","Twins",722,734.002131261678
"17","Angels",717,710.145331638386
"18","Reds",716,707.432256616957
"19","Giants",715,710.473709108615
"20","White Sox",686,700.482672687552
"21","Padres",686,631.439169680116
"22","Yankees",680,677.785605209422
"23","Royals",675,677.890248804199
"24","Rays",672,705.386742340414
"25","Brewers",671,687.642454201163
"26","Mets",671,697.787836049651
"27","Marlins",655,663.668437123739
"28","Athletics",653,654.243009368595
"29","Braves",649,669.177736681707
"30","Phillies",610,608.278072281974
